P_um,N,I_b_nA,fill,rms_nm,p99_nm,max_nm,mean_nm,n_eval
99.99999999999999,32,1.0,0.7,1.964372593376124,2.687816486316715,2.791636668427802,1.866030247979349,4000
99.99999999999999,32,1.0,0.5,1.3941293247294968,1.9228980021799074,2.0081467106011806,1.326386630550635,4000
99.99999999999999,32,5.0,1.0,13.827616168916151,18.496123739441444,18.496123739441465,13.110817792441921,400
99.99999999999999,32,5.0,0.7,9.671814614458327,13.365459090330349,13.80775927205587,9.172271197191703,4000
99.99999999999999,32,5.0,0.5,7.007595425099171,9.794259811944688,10.314068186509022,6.652627819998591,4000
99.99999999999999,32,10.0,1.0,27.3420553614582,36.99224747888291,36.99224747888293,25.78839421936041,400
99.99999999999999,32,10.0,0.7,19.10761853791632,26.757101977475557,27.478606347902062,18.032685639754025,4000
99.99999999999999,32,10.0,0.5,13.705416750551075,19.536264097013092,20.546633575783833,12.932133549639502,4000
99.99999999999999,100,1.0,1.0,8.539145007334408,11.841885908831152,11.85539240773515,8.044100610762039,400
99.99999999999999,100,1.0,0.7,5.973090090236086,8.314925531050765,8.463350912316226,5.625672070822083,4000
99.99999999999999,100,1.0,0.5,4.255255271758542,5.952875704391839,6.109257245143907,4.006659890545576,4000
99.99999999999999,100,5.0,1.0,42.99448220115346,59.24878796966017,59.27696203867629,40.738595206425416,400
99.99999999999999,100,5.0,0.7,30.040930374147795,41.63836229990684,42.60728972510998,28.45217252397663,4000
99.99999999999999,100,5.0,0.5,21.513738015296187,29.90195175026464,30.596611736907974,20.379522421103786,4000
99.99999999999999,100,10.0,1.0,85.13906655172724,118.39174256135674,118.55392407735258,79.89509602476917,400
99.99999999999999,100,10.0,0.7,59.56721229658878,83.0410723776505,84.98494588277202,55.903358600243465,4000
99.99999999999999,100,10.0,0.5,42.44897213051498,59.46286249856618,61.85652795596897,39.80936194418005,4000
99.99999999999999,316,1.0,1.0,27.243581991912286,37.36997588975959,37.76489837612567,25.75894515227922,400
99.99999999999999,316,1.0,0.7,19.044420060697465,26.13563262425534,26.509666878983023,18.00165004233705,4000
99.99999999999999,316,1.0,0.5,13.603107268373142,18.66870353512281,18.99608957706078,12.860247805906567,4000
99.99999999999999,316,5.0,1.0,133.53440428089945,187.1869652719566,188.82449188062637,125.94993768732284,400
99.99999999999999,316,5.0,0.7,93.50224293578009,131.41941940457113,133.36248075474148,88.18521300974001,4000
99.99999999999999,316,5.0,0.5,66.84090192544197,93.81524425314784,95.72674954515925,63.033560096082574,4000
99.99999999999999,316,10.0,1.0,261.2630018266448,375.7204904748445,377.64898376125274,244.4611583614591,400
99.99999999999999,316,10.0,0.7,183.10320186837612,263.25641730359047,266.83531325614456,171.36261964246347,4000
99.99999999999999,316,10.0,0.5,130.83250486185815,188.01587663068864,190.38633318786623,122.46641786166866,4000
